INFO:root:[Epoch 3/160][Iter 0/517][lr 0.001000][Loss: obj 6.69 || cls 3.49 || bbox 7.17 || total 17.34 || size 416]
INFO:root:[Epoch 3/160][Iter 10/517][lr 0.001000][Loss: obj 6.04 || cls 3.28 || bbox 7.77 || total 17.08 || size 416]
INFO:root:[Epoch 3/160][Iter 20/517][lr 0.001000][Loss: obj 5.90 || cls 3.03 || bbox 7.49 || total 16.43 || size 416]
INFO:root:[Epoch 3/160][Iter 30/517][lr 0.001000][Loss: obj 4.71 || cls 2.22 || bbox 7.13 || total 14.06 || size 416]
INFO:root:[Epoch 3/160][Iter 40/517][lr 0.001000][Loss: obj 4.51 || cls 2.35 || bbox 4.79 || total 11.66 || size 416]
INFO:root:[Epoch 3/160][Iter 50/517][lr 0.001000][Loss: obj 6.50 || cls 2.84 || bbox 7.34 || total 16.68 || size 416]
INFO:root:[Epoch 3/160][Iter 60/517][lr 0.001000][Loss: obj 7.13 || cls 3.14 || bbox 7.84 || total 18.11 || size 416]
INFO:root:[Epoch 3/160][Iter 70/517][lr 0.001000][Loss: obj 4.96 || cls 2.93 || bbox 10.48 || total 18.37 || size 416]
INFO:root:[Epoch 3/160][Iter 80/517][lr 0.001000][Loss: obj 5.95 || cls 2.85 || bbox 7.50 || total 16.30 || size 416]
INFO:root:[Epoch 3/160][Iter 90/517][lr 0.001000][Loss: obj 5.65 || cls 3.79 || bbox 6.90 || total 16.34 || size 416]
INFO:root:[Epoch 3/160][Iter 100/517][lr 0.001000][Loss: obj 6.15 || cls 3.35 || bbox 7.30 || total 16.80 || size 416]
INFO:root:[Epoch 3/160][Iter 110/517][lr 0.001000][Loss: obj 5.22 || cls 2.63 || bbox 9.55 || total 17.40 || size 416]
INFO:root:[Epoch 3/160][Iter 120/517][lr 0.001000][Loss: obj 4.78 || cls 2.83 || bbox 7.14 || total 14.75 || size 416]
INFO:root:[Epoch 3/160][Iter 130/517][lr 0.001000][Loss: obj 5.82 || cls 3.01 || bbox 7.75 || total 16.58 || size 416]
INFO:root:[Epoch 3/160][Iter 140/517][lr 0.001000][Loss: obj 5.38 || cls 2.21 || bbox 6.18 || total 13.78 || size 416]
INFO:root:[Epoch 3/160][Iter 150/517][lr 0.001000][Loss: obj 5.43 || cls 2.71 || bbox 7.54 || total 15.69 || size 416]
INFO:root:[Epoch 3/160][Iter 160/517][lr 0.001000][Loss: obj 5.56 || cls 3.61 || bbox 6.56 || total 15.74 || size 416]
INFO:root:[Epoch 3/160][Iter 170/517][lr 0.001000][Loss: obj 4.52 || cls 1.91 || bbox 4.14 || total 10.58 || size 416]
INFO:root:[Epoch 3/160][Iter 180/517][lr 0.001000][Loss: obj 5.02 || cls 2.73 || bbox 7.51 || total 15.26 || size 416]
INFO:root:[Epoch 3/160][Iter 190/517][lr 0.001000][Loss: obj 4.66 || cls 2.77 || bbox 5.84 || total 13.27 || size 416]
INFO:root:[Epoch 3/160][Iter 200/517][lr 0.001000][Loss: obj 4.99 || cls 2.17 || bbox 6.70 || total 13.86 || size 416]
INFO:root:[Epoch 3/160][Iter 210/517][lr 0.001000][Loss: obj 5.06 || cls 2.44 || bbox 6.37 || total 13.87 || size 416]
INFO:root:[Epoch 3/160][Iter 220/517][lr 0.001000][Loss: obj 5.40 || cls 3.79 || bbox 7.43 || total 16.62 || size 416]
INFO:root:[Epoch 3/160][Iter 230/517][lr 0.001000][Loss: obj 5.78 || cls 3.31 || bbox 7.99 || total 17.09 || size 416]
INFO:root:[Epoch 3/160][Iter 240/517][lr 0.001000][Loss: obj 4.80 || cls 2.36 || bbox 4.63 || total 11.80 || size 416]
INFO:root:[Epoch 3/160][Iter 250/517][lr 0.001000][Loss: obj 5.16 || cls 2.53 || bbox 6.32 || total 14.00 || size 416]
INFO:root:[Epoch 3/160][Iter 260/517][lr 0.001000][Loss: obj 5.11 || cls 2.41 || bbox 5.73 || total 13.26 || size 416]
INFO:root:[Epoch 3/160][Iter 270/517][lr 0.001000][Loss: obj 5.14 || cls 2.75 || bbox 8.14 || total 16.03 || size 416]
INFO:root:[Epoch 3/160][Iter 280/517][lr 0.001000][Loss: obj 4.51 || cls 1.81 || bbox 5.47 || total 11.78 || size 416]
INFO:root:[Epoch 3/160][Iter 290/517][lr 0.001000][Loss: obj 6.14 || cls 2.72 || bbox 6.56 || total 15.42 || size 416]
INFO:root:[Epoch 3/160][Iter 300/517][lr 0.001000][Loss: obj 4.32 || cls 2.98 || bbox 5.71 || total 13.01 || size 416]
INFO:root:[Epoch 3/160][Iter 310/517][lr 0.001000][Loss: obj 4.98 || cls 3.12 || bbox 7.78 || total 15.88 || size 416]
INFO:root:[Epoch 3/160][Iter 320/517][lr 0.001000][Loss: obj 4.67 || cls 1.32 || bbox 3.98 || total 9.98 || size 416]
INFO:root:[Epoch 3/160][Iter 330/517][lr 0.001000][Loss: obj 5.13 || cls 2.18 || bbox 5.58 || total 12.89 || size 416]
INFO:root:[Epoch 3/160][Iter 340/517][lr 0.001000][Loss: obj 6.13 || cls 2.14 || bbox 7.43 || total 15.70 || size 416]
